6.000e+00,-4.199e+00,-3.500e+00,2.836e+00,-1.400e+00,4.500e+00,2.836e+00
9.000e+00,-7.798e-01,-5.648e+00,0.000e+00,2.369e+00,9.102e-01,0.000e+00
1.600e+01,-6.371e+00,-1.600e-01,0.000e+00,3.799e-01,5.352e+00,0.000e+00
1.700e+01,-1.990e+00,-3.801e+00,0.000e+00,3.859e+00,8.501e-01,0.000e+00
2.000e+01,-1.500e+00,4.000e+00,-4.001e-02,3.801e+00,6.398e+00,-4.001e-02
2.200e+01,6.430e+00,3.301e+00,0.000e+00,1.400e+01,1.030e+01,0.000e+00
2.300e+01,-1.400e+00,-5.801e+00,3.000e-03,4.500e+00,-2.000e+00,3.000e-03
2.500e+01,-2.301e+00,-1.850e+00,0.000e+00,5.172e+00,4.559e+00,0.000e+00
3.100e+01,1.910e+00,-4.879e+00,0.000e+00,7.719e+00,6.499e-01,0.000e+00
3.300e+01,-2.000e+00,-6.500e+00,0.000e+00,4.301e+00,1.800e+00,0.000e+00
3.400e+01,-5.000e+00,-6.199e+00,1.000e-02,2.400e+00,-2.500e+00,1.000e-02
3.500e+01,-1.200e+00,-1.000e+00,2.789e+00,2.400e+00,3.801e+00,2.789e+00
5.500e+01,-7.949e+00,-4.199e+00,-2.930e+00,-1.000e+00,3.899e-01,-2.930e+00
5.700e+01,-7.500e-01,-3.000e+00,-2.885e+00,3.500e+00,4.000e+00,-2.885e+00
6.200e+01,1.140e+00,-3.320e+00,-5.001e-03,8.203e+00,-0.000e+00,-5.001e-03
6.400e+01,-3.100e+00,-5.398e+00,-5.001e-03,-6.001e-01,-2.900e+00,-5.001e-03
8.100e+01,-8.500e+00,-7.301e+00,-5.001e-03,-4.449e+00,-2.199e+00,-5.001e-03
8.700e+01,3.000e+00,1.000e+00,0.000e+00,8.602e+00,5.000e+00,0.000e+00
9.600e+01,-3.301e+00,-5.498e-01,5.001e-03,8.999e-01,5.301e+00,5.001e-03
1.090e+02,-7.000e+00,-2.500e+00,-2.820e+00,5.498e-01,1.500e+00,-2.820e+00
1.350e+02,1.000e+00,3.400e+00,-5.001e-03,7.801e+00,6.699e+00,-5.001e-03
